date,code,action,price,shares,pnl,reason
2023-06-05,600482,sell,18.02723769,5600,-4661.0348400000075,
2023-06-05,600150,sell,28.24316416,3900,3730.582752000002,
2023-06-05,600436,sell,289.0201014,300,-518.3827470000106,
2023-06-05,600011,sell,9.31778848,12900,3406.4627520000213,
2023-06-05,600406,sell,20.837394,5400,-4500.877104000014,
2023-06-05,600426,sell,27.8415489,4100,-3013.8706400000083,
2023-06-05,600025,sell,6.85247607,16500,-3877.4298750000016,
2023-06-05,600415,buy,8.77921128,12400,0.0,
2023-06-05,600309,buy,81.2263855,1300,0.0,
2023-06-05,600023,buy,4.7103812,23100,0.0,
2023-06-05,600219,buy,2.64291717,41100,0.0,
2023-06-05,600027,buy,6.14030982,17700,0.0,
2023-06-05,600460,buy,31.88835302,3400,0.0,
2023-06-05,600183,buy,14.45160308,7500,0.0,
2023-06-19,600346,sell,13.56588413,7800,-9935.917601999987,
2023-06-19,600276,sell,46.48123872,2400,-3923.402111999996,
2023-06-19,600161,sell,21.8132058,5300,-1298.9886600000027,
2023-06-19,600415,sell,8.89409736,12400,1424.5873920000013,
2023-06-19,600023,sell,4.3375518,23100,-8612.359139999986,
2023-06-19,600219,sell,2.6515818,41100,356.1162930000137,
2023-06-19,600027,sell,5.65766538,17700,-8542.806587999992,
2023-06-19,600460,sell,30.87998619,3400,-3428.4472220000025,
2023-06-19,600150,buy,29.7322416,3600,0.0,
2023-06-19,600031,buy,16.0659358,6700,0.0,
2023-06-19,600026,buy,12.42617159,8600,0.0,
2023-06-19,600438,buy,32.9686504,3200,0.0,
2023-06-19,600426,buy,28.94170188,3700,0.0,
2023-06-19,600233,buy,14.01304671,7600,0.0,
2023-06-19,600406,buy,21.8500524,4900,0.0,
2023-06-19,600104,buy,13.3784571,8000,0.0,
2023-07-05,600309,sell,82.98548947,1300,2286.8351609999954,
2023-07-05,600183,sell,14.51806906,7500,498.49485000000277,
2023-07-05,600150,sell,30.55074112,3600,2946.598272000003,
2023-07-05,600031,sell,15.90384624,6700,-1086.0000519999885,
2023-07-05,600438,sell,31.41605698,3200,-4968.298944000009,
2023-07-05,600426,sell,29.63034081,3700,2547.9640409999993,
2023-07-05,600233,sell,14.48871021,7600,3615.0426000000007,
2023-07-05,600104,sell,13.58646138,8000,1664.0342399999936,
2023-07-05,600111,buy,26.35010631,4100,0.0,
2023-07-05,600276,buy,48.77158986,2200,0.0,
2023-07-05,600010,buy,1.91,56900,0.0,
2023-07-05,600482,buy,21.57197427,5000,0.0,
2023-07-05,600188,buy,12.35066099,8800,0.0,
2023-07-05,600161,buy,21.04525024,5100,0.0,
2023-07-05,600066,buy,13.11771305,8200,0.0,
2023-07-05,600009,buy,45.8776722,2300,0.0,
2023-07-19,600111,sell,23.86330881,4100,-10195.869750000013,
2023-07-19,600276,sell,46.29285486,2200,-5453.217000000004,
2023-07-19,600010,sell,1.81,56900,-5690.0,
2023-07-19,600482,sell,22.13991549,5000,2839.7061000000103,
2023-07-19,600188,sell,12.2792268,8800,-628.6208719999995,
2023-07-19,600161,sell,20.30916828,5100,-3754.017995999995,
2023-07-19,600066,sell,12.48595697,8200,-5180.399856000004,
2023-07-19,600050,buy,4.8359195,21700,0.0,
2023-07-19,600489,buy,10.70405432,9800,0.0,
2023-07-19,600436,buy,274.2899385,300,0.0,
2023-07-19,600372,buy,15.11044272,6900,0.0,
2023-07-19,600160,buy,14.70806991,7100,0.0,
2023-07-19,600309,buy,87.61875785,1200,0.0,
2023-07-19,600346,buy,13.8541243,7500,0.0,
2023-08-02,600026,sell,13.17503986,8600,6440.267122000005,
2023-08-02,600406,sell,22.29973536,4900,2203.446504000007,
2023-08-02,600050,sell,4.715715,21700,-2608.4376499999926,
2023-08-02,600489,sell,10.16123306,9800,-5319.648347999973,
2023-08-02,600372,sell,14.7015261,6900,-2821.5246780000016,
2023-08-02,600160,sell,14.35436883,7100,-2511.277667999995,
2023-08-02,600346,sell,14.26323938,7500,3068.3631000000023,
2023-08-02,600030,buy,22.1718186,4900,0.0,
2023-08-02,600016,buy,3.45559896,31400,0.0,
2023-08-02,600019,buy,5.8881745,18400,0.0,
2023-08-02,600018,buy,4.92245247,22000,0.0,
2023-08-02,600219,buy,2.8162225,38600,0.0,
2023-08-02,600015,buy,5.0560374,21500,0.0,
2023-08-02,600010,buy,1.91,56900,0.0,
2023-08-16,600309,sell,90.09880607,1200,2976.057864000002,
2023-08-16,600030,sell,22.32056036,4900,728.8346239999955,
2023-08-16,600016,sell,3.47305148,31400,548.0091280000051,
2023-08-16,600019,sell,5.69794117,18400,-3500.2932719999953,
2023-08-16,600018,sell,4.83058731,22000,-2021.0335199999972,
2023-08-16,600219,sell,2.7382348,38600,-3010.325219999999,
2023-08-16,600015,sell,4.985447,21500,-1517.6936000000132,
2023-08-16,600010,sell,1.83,56900,-4552.0,
2023-08-16,600025,buy,6.96424689,15300,0.0,
2023-08-16,600085,buy,55.4555854,1900,0.0,
2023-08-16,600188,buy,11.43377184,9300,0.0,
2023-08-16,600160,buy,16.00497387,6600,0.0,
2023-08-16,600115,buy,4.65,23000,0.0,
2023-08-16,600276,buy,40.66116894,2600,0.0,
2023-08-16,600377,buy,8.92031172,11900,0.0,
2023-08-16,600026,buy,12.75246196,8300,0.0,
2023-08-30,600009,sell,38.51495115,2300,-16934.25841499999,止损
2023-08-30,600436,sell,270.09172205,300,-1259.4649349999963,
2023-08-30,600025,sell,6.91608474,15300,-736.8808950000093,
2023-08-30,600085,sell,53.22582876,1900,-4236.537616000001,
2023-08-30,600160,sell,15.73969806,6600,-1750.8203459999932,
2023-08-30,600115,sell,4.37,23000,-6440.000000000015,
2023-08-30,600377,sell,8.94830433,11900,333.1120589999773,
2023-08-30,600026,sell,12.75246196,8300,0.0,
2023-08-30,600039,buy,7.94282736,12600,0.0,
2023-08-30,600066,buy,10.69598141,9300,0.0,
2023-08-30,600489,buy,10.475498,9500,0.0,
2023-08-30,600015,buy,4.9501518,20200,0.0,
2023-08-30,600161,buy,20.23549536,4900,0.0,
2023-08-30,600048,buy,13.74713275,7200,0.0,
2023-08-30,600023,buy,4.001096,25000,0.0,
2023-08-30,600346,buy,13.41711501,7400,0.0,
2023-09-13,600039,sell,7.00421008,12600,-11826.577728000004,
2023-09-13,600066,sell,12.0209143,9300,12321.875876999999,
2023-09-13,600489,sell,10.67548478,9500,1899.874410000004,
2023-09-13,600015,sell,4.9236804,20200,-534.7222800000018,
2023-09-13,600048,sell,12.68464249,7200,-7649.929872000008,
2023-09-13,600346,sell,13.91921079,7400,3715.508772000001,
2023-09-13,600415,buy,9.334494,10700,0.0,
2023-09-13,600018,buy,4.76543488,20900,0.0,
2023-09-13,600436,buy,259.6301157,300,0.0,
2023-09-13,600027,buy,5.10603149,19500,0.0,
2023-09-13,600115,buy,4.48,22300,0.0,
2023-09-13,600176,buy,13.28958604,7500,0.0,
2023-09-27,600188,sell,13.53398932,9300,19532.022564,
2023-09-27,600023,sell,3.864695,25000,-3410.0250000000087,
2023-09-27,600018,sell,4.82127982,20900,1167.1592459999956,
2023-09-27,600027,sell,4.8013316,19500,-5941.647855000003,
2023-09-27,600115,sell,4.42,22300,-1338.0000000000146,
2023-09-27,600176,sell,13.0336525,7500,-1919.5015500000009,
2023-09-27,600438,buy,30.90810975,3400,0.0,
2023-09-27,600026,buy,13.04357118,8100,0.0,
2023-09-27,600089,buy,14.28183039,7400,0.0,
2023-09-27,600482,buy,17.83165643,5900,0.0,
2023-09-27,600309,buy,85.75391539,1200,0.0,
2023-09-27,600183,buy,14.07179748,7500,0.0,
2023-10-19,600415,sell,7.71651504,10700,-17312.374872,止损
2023-10-19,600276,sell,43.04075454,2600,6186.922559999992,
2023-10-19,600436,sell,238.19303355,300,-6431.124644999989,
2023-10-19,600438,sell,28.61755526,3400,-7787.885266000012,
2023-10-19,600089,sell,13.74107143,7400,-4001.61630400001,
2023-10-19,600482,sell,17.35078072,5900,-2837.1666889999906,
2023-10-19,600309,sell,81.56282615,1200,-5029.307088000001,
2023-10-19,600023,buy,3.8283214,25000,0.0,
2023-10-19,600346,buy,13.1102787,7300,0.0,
2023-10-19,600025,buy,7.33991166,13000,0.0,
2023-10-19,600018,buy,4.51413265,21200,0.0,
2023-10-19,600085,buy,46.78644536,2000,0.0,
2023-10-19,600406,buy,21.26628674,4500,0.0,
2023-10-19,600219,buy,2.6082553,36700,0.0,
2023-11-02,600183,sell,16.31265052,7500,16806.397799999977,
2023-11-02,600023,sell,4.0829366,25000,6365.37999999999,
2023-11-02,600025,sell,7.54219269,13000,2629.6533900000068,
2023-11-02,600018,sell,4.71889743,21200,4341.013336000004,
2023-11-02,600406,sell,21.49383506,4500,1023.9674399999931,
2023-11-02,600219,sell,2.6689124,36700,2226.1155699999945,
2023-11-02,600276,buy,47.4925626,2100,0.0,
2023-11-02,600309,buy,83.01432724,1200,0.0,
2023-11-02,600016,buy,3.3159788,31200,0.0,
2023-11-02,600196,buy,27.671472,3700,0.0,
2023-11-02,600426,buy,29.02660257,3500,0.0,
2023-11-02,600436,buy,242.197337,400,0.0,
2023-11-16,600026,sell,12.97783684,8100,-532.4481540000124,
2023-11-16,600346,sell,13.1102787,7300,0.0,
2023-11-16,600085,sell,47.82443552,2000,2075.980319999988,
2023-11-16,600276,sell,46.4019192,2100,-2290.351139999999,
2023-11-16,600309,sell,79.15967865,1200,-4625.5783079999965,
2023-11-16,600016,sell,3.3596101,31200,1361.296559999988,
2023-11-16,600196,sell,27.446739,3700,-831.5120999999926,
2023-11-16,600426,sell,28.61153253,3500,-1452.745139999999,
2023-11-16,600027,buy,4.66283165,21700,0.0,
2023-11-16,600011,buy,7.1675296,14100,0.0,
2023-11-16,600406,buy,21.05770078,4800,0.0,
2023-11-16,600460,buy,25.31899288,4000,0.0,
2023-11-16,600415,buy,7.72608888,13100,0.0,
2023-11-16,600025,buy,7.8022683,13000,0.0,
2023-11-16,600160,buy,14.78667015,6800,0.0,
2023-11-16,600482,buy,17.40966346,5800,0.0,
2023-11-30,600436,sell,245.0672494,400,1147.9649599999975,
2023-11-30,600027,sell,4.72746496,21700,1402.5428269999975,
2023-11-30,600406,sell,20.86807718,4800,-910.1932800000068,
2023-11-30,600460,sell,24.12093328,4000,-4792.238400000002,
2023-11-30,600415,sell,7.6112028,13100,-1505.0076479999989,
2023-11-30,600160,sell,15.61197267,6800,5612.0571359999885,
2023-11-30,600482,sell,17.39003588,5800,-113.83996400001342,
2023-11-30,600150,buy,27.27465448,3700,0.0,
2023-11-30,600104,buy,14.39675712,7000,0.0,
2023-11-30,600018,buy,4.68166747,21500,0.0,
2023-11-30,600085,buy,51.0825713,1900,0.0,
2023-11-30,600015,buy,5.117804,19700,0.0,
2023-11-30,600188,buy,13.7889678,7300,0.0,
2023-11-30,600219,buy,2.4956064,40500,0.0,
2023-12-14,600161,sell,26.2766748,4900,29601.77925599998,
2023-12-14,600011,sell,7.32785592,14100,2260.601112000004,
2023-12-14,600104,sell,13.16800164,7000,-8601.288360000006,
2023-12-14,600018,sell,4.72820492,21500,1000.5551749999868,
2023-12-14,600085,sell,50.17913542,1900,-1716.5281719999912,
2023-12-14,600015,sell,5.0825088,19700,-695.3154399999912,
2023-12-14,600188,sell,13.50714948,7300,-2057.273736000003,
2023-12-14,600219,sell,2.4436146,40500,-2105.667899999986,
2023-12-14,600183,buy,17.091252,6000,0.0,
2023-12-14,600309,buy,72.14248795,1400,0.0,
2023-12-14,600482,buy,17.39984967,5900,0.0,
2023-12-14,600372,buy,12.617158,8100,0.0,
2023-12-14,600023,buy,4.319365,23800,0.0,
2023-12-14,600276,buy,45.34102062,2200,0.0,
2023-12-14,600010,buy,1.47,70100,0.0,
2023-12-14,600346,buy,12.19906784,8400,0.0,
2023-12-28,600150,sell,28.4193216,3700,4235.268343999996,
2023-12-28,600183,sell,17.08175686,6000,-56.97084000000905,
2023-12-28,600482,sell,16.91897396,5900,-2837.166689000005,
2023-12-28,600372,sell,12.7742588,8100,1272.5164800000057,
2023-12-28,600023,sell,4.1284036,23800,-4544.881319999986,
2023-12-28,600276,sell,44.3693565,2200,-2137.661064,
2023-12-28,600010,sell,1.46,70100,-701.0,
2023-12-28,600346,sell,12.12468328,8400,-624.8303040000028,
2023-12-28,600438,buy,24.42938659,4100,0.0,
2023-12-28,600089,buy,13.39344067,7600,0.0,
2023-12-28,600050,buy,4.1175014,24800,0.0,
2023-12-28,600436,buy,235.8951645,400,0.0,
2023-12-28,600188,buy,13.41992,7600,0.0,
2023-12-28,600036,buy,24.66828675,4100,0.0,
2023-12-28,600362,buy,16.60851136,6100,0.0,
2023-12-28,600460,buy,22.54348814,4500,0.0,
2024-01-12,600025,sell,8.25499251,13000,5885.414730000004,
2024-01-12,600309,sell,68.09558756,1400,-5665.660546000014,
2024-01-12,600050,sell,3.76888,24800,-8645.810720000009,
