date,code,action,price,shares,pnl,fee,reason
2023-07-19,601127,sell,42.40460602,3800,59394.74468263704,362.55938147100005,
2023-07-19,601100,sell,66.76788012,1800,23305.474655658036,270.40991448600005,
2023-07-19,600111,sell,23.86330881,3900,-10010.676199416746,209.40053480775,
2023-07-19,600276,sell,46.29285486,2100,-5526.497577919494,218.7337392135,
2023-07-19,600010,sell,1.81,54600,-5786.644499999995,222.35850000000002,
2023-07-19,600760,sell,43.9604088,2300,-1501.2695097399992,227.49511554000006,
2023-07-19,600161,sell,20.30916828,4900,-3933.8319104629772,223.90858028700004,
2023-07-19,600660,sell,33.81118228,3100,1192.0790270220168,235.832996403,
2023-07-19,600050,buy,4.8359195,22600,0.0,27.350268120175,
2023-07-19,600584,buy,34.89169404,3100,0.0,27.068103943881,
2023-07-19,601136,buy,14.7780675,7400,0.0,27.366764299874998,
2023-07-19,600489,buy,10.70405432,10200,0.0,27.322633854515995,
2023-07-19,600887,buy,24.62833776,4400,0.0,27.118262707535997,
2023-07-19,600160,buy,14.70806991,7400,0.0,27.237139262833498,
2023-07-19,601138,buy,23.2325873,4700,0.0,27.3255883675775,
2023-07-19,601059,buy,14.30193944,7600,0.0,27.200858620936,
2023-08-02,600050,sell,4.715715,22600,-3065.707588449979,239.79410775000005,
2023-08-02,600584,sell,33.10542984,3100,-5876.493644657996,230.910373134,
2023-08-02,600489,sell,10.16123306,10200,-5879.158504790976,233.20029872700005,
2023-08-02,600887,sell,25.541503,4400,3656.7014901560033,252.86087970000003,
2023-08-02,600160,sell,14.35436883,7400,-2965.2279503534955,239.0002410195,
2023-08-02,601138,sell,21.18130056,4700,-9974.233091731978,223.99225342200003,
2023-08-02,600030,buy,22.1718186,4700,0.0,26.077938741855,
2023-08-02,600918,buy,7.8346362,13500,0.0,26.468339072175002,
2023-08-02,601127,buy,42.493546,2400,0.0,25.5216237276,
2023-08-02,600585,buy,24.76332368,4200,0.0,26.027491353863997,
2023-08-02,600999,buy,14.11478112,7500,0.0,26.491679814599998,
2023-08-02,600018,buy,4.92245247,21500,0.0,26.484640208276247,
2023-08-16,600809,sell,213.08397,500,6263.801543285008,239.71946625000004,
2023-08-16,600030,sell,22.32056036,4700,358.83879877300933,236.03992580700003,
2023-08-16,600918,sell,8.0019472,13500,1909.8717651000043,243.05914620000004,
2023-08-16,601127,sell,35.49693424,2400,-17085.53617929599,191.68344489600005,
2023-08-16,600585,sell,23.50167424,4200,-5625.024429023979,222.09082156800002,
2023-08-16,600999,sell,14.40883906,7500,1856.4245324625226,243.14915913750002,
2023-08-16,600018,sell,4.83058731,21500,-2314.613329226224,233.67966112125006,
2023-08-16,600803,buy,16.5623655,6200,0.0,25.69733819152499,
2023-08-16,600160,buy,16.00497387,6400,0.0,25.633566150191996,
2023-08-16,600941,buy,86.47395204,1100,0.0,23.804117147811,
2023-08-16,600938,buy,16.25930658,6300,0.0,25.634016271363496,
2023-08-16,600025,buy,6.96424689,14800,0.0,25.793481206493,
2023-08-16,600115,buy,4.65,22200,0.0,25.833307500000004,
2023-08-16,600009,buy,44.90966505,2300,0.0,25.848880461153747,
2023-08-16,600377,buy,8.92031172,11600,0.0,25.894772891988,
2023-08-30,601136,sell,24.290474,7400,69878.01400840002,404.4363921000001,
2023-08-30,601059,sell,20.23472285,7600,44634.44541552101,346.01376073500006,
2023-08-30,600803,sell,15.6671025,6200,-5871.873345974964,218.55607987500002,
2023-08-30,600160,sell,15.73969806,6400,-2026.8486688319826,226.65165206400005,
2023-08-30,600941,sell,88.41869736,1100,1825.2622287900158,218.83627596600002,
2023-08-30,600938,sell,16.92713133,6300,3864.9202069432795,239.94208660275007,
2023-08-30,600025,sell,6.91608474,14800,-1046.176295813988,230.30562184200002,
2023-08-30,600115,sell,4.37,22200,-6537.511500000008,218.28150000000002,
2023-08-30,600009,sell,38.51495115,2300,-15010.449071816227,199.31487220125004,
2023-08-30,600377,sell,8.94830433,11600,-12.312082964999718,233.55074301300002,
2023-08-30,601127,buy,36.25786518,3100,0.0,28.127945360014504,
2023-08-30,601100,buy,61.33351131,1800,0.0,27.6276801695895,
2023-08-30,600809,buy,228.67548,400,0.0,22.890415547999996,
2023-08-30,600066,buy,10.69598141,10600,0.0,28.372695087236497,
2023-08-30,600547,buy,25.89100836,4300,0.0,27.860666820987,
2023-08-30,600584,buy,32.24206881,3500,0.0,28.24002201895875,
2023-08-30,600039,buy,7.94282736,14200,0.0,28.225234165127997,
2023-08-30,600276,buy,41.7914721,2700,0.0,28.237452911167498,
2023-08-30,600989,buy,13.01140913,8700,0.0,28.328114672607747,
2023-09-13,601100,sell,62.55843165,1800,1841.0946434595098,253.36164818250003,
2023-09-13,600066,sell,12.0209143,10600,13644.212424999001,286.69880605500003,
2023-09-13,600547,sell,25.63544032,4300,-1458.2967930439918,248.02288509600004,
2023-09-13,600584,sell,30.90237066,3500,-5045.146934782504,243.3561689475,
2023-09-13,600039,sell,7.00421008,14200,-13664.938036567983,223.784512056,
2023-09-13,600989,sell,13.6615085,8700,5275.2412306815095,267.4240288875,
2023-09-13,600415,buy,9.334494,12500,0.0,29.199464043749995,
2023-09-13,600938,buy,17.46139113,6700,0.0,29.277077972892744,
2023-09-13,600018,buy,4.76543488,24500,0.0,29.217476928639996,
2023-09-13,600027,buy,5.10603149,22900,0.0,29.26126231053025,
2023-09-13,600436,buy,259.6301157,400,0.0,25.988974581569995,
2023-09-13,600161,buy,20.4647,5700,0.0,29.191359697499998,
2023-09-13,600160,buy,15.57267255,7500,0.0,29.227959792281247,
2023-09-27,600809,sell,228.4014474,400,-406.64453465999395,205.56130266000002,
2023-09-27,600415,sell,8.62602984,12500,-9215.090264249986,242.60708925,
2023-09-27,600938,sell,18.5210064,6700,6703.226816949027,279.20417148000007,
2023-09-27,600018,sell,4.82127982,24500,985.6748253625119,265.77305007750005,
2023-09-27,600027,sell,4.8013316,22900,-7341.944212810995,247.38861069000004,
2023-09-27,600161,sell,21.15231392,5700,3531.4721279760124,271.27842602400005,
2023-09-27,600160,sell,15.01264584,7500,-4570.33376767498,253.33839855000002,
2023-09-27,601012,buy,27.40742514,4100,0.0,28.1207033792685,
2023-09-27,600522,buy,14.0857442,8000,0.0,28.1996598884,
2023-09-27,600026,buy,13.04357118,8700,0.0,28.3981370838165,
2023-09-27,600438,buy,30.90810975,3600,0.0,27.845116073775,
2023-09-27,600482,buy,17.83165643,6300,0.0,28.112943736127242,
2023-09-27,601138,buy,18.7898634,6000,0.0,28.212979895100002,
2023-09-27,600183,buy,14.07179748,8000,0.0,28.171738554959997,
2023-10-19,600276,sell,43.04075454,2700,2998.753029499523,261.47258383050007,
2023-10-19,601012,sell,25.15476006,4100,-9580.349932627505,232.05266155350003,
2023-10-19,600522,sell,14.12433528,8000,-58.19534863998706,254.23803504000006,
2023-10-19,600438,sell,28.61755526,3600,-8589.067556705995,231.80219760600002,
2023-10-19,600482,sell,17.35078072,6300,-3387.8037252149807,245.947316706,
2023-10-19,601138,sell,15.68668899,6000,-18943.555941765007,211.77030136500002,
