date,code,action,price,shares,pnl,reason
2023-08-14,600887,buy,24.754924774169922,9500,0.0,
2023-08-14,002594,buy,79.98987579345703,2900,0.0,
2023-08-28,603288,sell,37.774784088134766,2300,-18436.77978515625,减仓
2023-08-28,600028,sell,5.515192985534668,43000,0.0,
2023-08-28,002594,sell,76.6415023803711,2900,-9710.282897949219,
2023-08-28,300760,sell,264.99603271484375,800,-10185.9130859375,
2023-08-28,000858,buy,141.80450439453125,1700,0.0,
2023-08-28,002352,buy,41.112979888916016,6200,0.0,
2023-08-28,000651,buy,29.772199630737305,8500,0.0,
2023-09-11,603288,sell,37.02535629272461,1200,-10518.502807617188,减仓
2023-09-11,000858,sell,147.9812774658203,1700,10500.514221191406,
2023-09-11,000651,sell,31.22934341430664,8500,12385.722160339355,
2023-09-11,300750,buy,210.18443298339844,1300,0.0,
2023-09-11,601012,buy,26.340381622314453,10900,0.0,
2023-09-25,603288,sell,36.43720245361328,1200,-11224.287414550781,止损
2023-09-25,600887,sell,24.103954315185547,9500,-6184.2193603515625,
2023-09-25,300750,sell,198.5618133544922,1300,-15109.405517578125,
2023-09-25,601012,sell,25.86613655090332,10900,-5169.271278381348,
2023-09-25,603288,buy,36.43720245361328,5600,0.0,
2023-09-25,000858,buy,143.07406616210938,1400,0.0,
2023-09-25,002415,buy,31.021821975708008,6600,0.0,
2023-09-25,601668,buy,5.084346294403076,40700,0.0,
2023-10-17,601668,sell,4.802891731262207,40700,-11455.200719833374,
2023-10-17,002415,sell,31.857202529907227,6600,5513.511657714844,
2023-10-17,600048,buy,11.202749252319336,18700,0.0,
2023-10-17,000538,buy,47.272056579589844,4400,0.0,
2023-10-31,603288,sell,35.71623229980469,5600,-4037.432861328125,
2023-10-31,000858,sell,140.46290588378906,1400,-3655.6243896484375,
2023-10-31,600048,sell,10.270739555358887,18700,-17428.5813331604,
2023-10-31,000538,sell,46.14674758911133,4400,-4951.359558105469,
2023-10-31,601166,buy,13.146422386169434,15000,0.0,
2023-10-31,601857,buy,6.410839557647705,30900,0.0,
2023-10-31,600036,buy,27.105815887451172,7300,0.0,
2023-10-31,600000,buy,6.384225368499756,31000,0.0,
2023-11-14,600036,sell,26.612342834472656,7300,-3602.353286743164,
2023-11-14,002352,sell,38.094913482666016,6200,-18712.01171875,
2023-11-14,601857,sell,6.392831802368164,30900,-556.4396381378174,
2023-11-14,600000,sell,6.440391540527344,31000,1741.1513328552246,
2023-11-14,600309,buy,79.47222137451172,2600,0.0,
2023-11-14,601668,buy,4.6576247215271,44500,0.0,
2023-11-14,000651,buy,28.263328552246094,7300,0.0,
2023-11-14,601318,buy,38.65248489379883,5300,0.0,
2023-11-28,601166,sell,12.902324676513672,15000,-3661.465644836426,
2023-11-28,000651,sell,28.358173370361328,7300,692.3671722412109,
2023-11-28,601318,sell,37.79978561401367,5300,-4519.306182861328,
2023-11-28,600036,buy,25.695890426635742,7800,0.0,
2023-11-28,600048,buy,10.037736892700195,20100,0.0,
2023-11-28,600000,buy,6.431029796600342,31400,0.0,
2023-12-12,600036,sell,24.717754364013672,7800,-7629.461288452148,
2023-12-12,601668,sell,4.403407096862793,44500,-11312.684297561646,
2023-12-12,600048,sell,9.63697338104248,20100,-8055.346584320068,
2023-12-12,600309,sell,73.21479034423828,2600,-16269.320678710938,
2023-12-12,601166,buy,12.71925163269043,15200,0.0,
