date,code,action,price,shares,pnl,fee,reason
2023-07-19,600406,buy,23.3237028,4700,0.0,109.62140316,
2023-07-19,600030,buy,18.97387076,5700,0.0,108.151063332,
2023-07-19,600026,buy,13.616399,8000,0.0,108.931192,
2023-07-19,600362,buy,17.90235545,6100,0.0,109.20436824500001,
2023-07-19,600009,buy,43.99054715,2400,0.0,105.57731315999999,
2023-07-19,600061,buy,7.17248736,15300,0.0,109.739056608,
2023-08-02,600160,sell,14.35436883,8400,10555.161213828003,120.57669817200001,
2023-08-02,600050,sell,4.715715,22700,-2835.6888805000053,107.04673050000001,
2023-08-02,600489,sell,10.16123306,10200,-5640.421429211987,103.644577212,
2023-08-02,600406,sell,22.29973536,4700,-4917.455724191997,104.808756192,
2023-08-02,600026,sell,13.17503986,8000,-3636.273438879987,105.40031888000001,
2023-08-02,600362,sell,18.8690624,6100,5781.811114359996,115.10128064,
2023-08-02,600436,buy,277.38285085,300,0.0,83.214855255,
2023-08-02,600018,buy,4.92245247,22400,0.0,110.262935328,
2023-08-02,600010,buy,1.91,57900,0.0,110.589,
2023-08-02,600219,buy,2.8162225,39300,0.0,110.67754425,
2023-08-02,600196,buy,29.8192727,3700,0.0,110.33130899,
2023-08-02,600019,buy,5.8881745,18800,0.0,110.6976806,
2023-08-16,600036,sell,28.17596025,4000,2253.100959000003,112.703841,
2023-08-16,600030,sell,22.32056036,5700,18948.903525948,127.22719405200002,
2023-08-16,600061,sell,7.6641498,15300,7405.173840060001,117.26149194,
2023-08-16,600436,sell,278.7305462,300,320.68944113999896,83.61916386,
2023-08-16,600018,sell,4.83058731,22400,-2165.984739743988,108.20515574400001,
2023-08-16,600010,sell,1.83,57900,-4737.956999999995,105.95700000000001,
2023-08-16,600219,sell,2.7382348,39300,-3172.529237640003,107.61262764,
2023-08-16,600196,sell,28.668114,3700,-4365.359211799994,106.0720218,
2023-08-16,600019,sell,5.69794117,18800,-3683.5078979959944,107.12129399599999,
2023-08-16,600160,buy,16.00497387,6900,0.0,110.434319703,
2023-08-16,600025,buy,6.96424689,15900,0.0,110.731525551,
2023-08-16,600276,buy,40.66116894,2700,0.0,109.785156138,
